title,price,date
MSI Radeon RX 6800 XT SHIPPED,4571.85,2020-11-18 00:00:00
AMD Radeon RX 6800 XT Graphics Card CONFIRMED ORDER AMD ,10560.9,2020-11-18 00:00:00
AMD Radeon RX 6800 16GB GDDR6 GPU IN HAND FREE/FAST SHIPPING!!!,942.5,2020-11-18 00:00:00
***INSURED** Radeon RX 6800 XT RX6800XT-16G Video Card *SHIP SAME DAY AS ARRIVAL,10054.0,2020-11-18 00:00:00
MSI Radeon RX 6800 XT SHIPPED,1004.21,2020-11-19 00:00:00
POWERCOLOR AMD RX 6800 16gb gddr6 GRAPHIC CARD  IN HAND SAME DAY FREE SHIPPING,885.0,2020-11-19 00:00:00
AMD Radeon RX 6800 16GB - In Hand ! - Free Shipping - Ship Immediately,2425.0,2020-11-19 00:00:00
AMD Radeon RX 6800 SAPPHIRE *In hand* *Ships same day*,915.0,2020-11-19 00:00:00
AMD Radeon RX 6800 XT Graphics Card CONFIRMED ORDER via AMD ,1415.0,2020-11-20 00:00:00
RX 6800XT ROG A4 copy version,320.0,2020-11-20 00:00:00
AMD Radeon RX 6800 SAPPHIRE *In hand* *Ships same day*,880.0,2020-11-20 00:00:00
**IN HAND | FREE SHIPPING** AMD Radeon RX 6800 16GB GDDR6 RDNA 2,850.0,2020-11-20 00:00:00
*In Hand* PowerColor AMD Radeon RX 6800 *Same Day Shipping!*,837.25,2020-11-20 00:00:00
AMD Radeon RX 6800  16GB VRAM - CONFIRMED ORDER✅✅✅✅,828.81,2020-11-21 00:00:00
AMD Radeon RX 6800 Graphics Card - Confirmed Order - Will ship ASAP ,780.0,2020-11-21 00:00:00
AMD RADEON RX 6800 IN-HAND Sapphire,840.55,2020-11-21 00:00:00
AMD Radeon RX 6800 SAPPHIRE *In hand* Ships USPS Priority Mail. SHIPS ASAP,828.7,2020-11-21 00:00:00
AMD Radeon Rx 6800 Graphics Card CONFIRMED ORDER - Ship Same Day as Received,1058.49,2020-11-21 00:00:00
AMD Radeon RX 6800 SAPPHIRE *Confirmed And Shipped*,825.28,2020-11-21 00:00:00
AMD Radeon RX 6800 XT (IN HAND AND READY TO SHIP),1533.0,2020-11-21 00:00:00
AMD Radeon RX 6800 Graphics Card (CONFIRMED ORDER) (SHIPS ONCE IN HAND),785.0,2020-11-21 00:00:00
AMD Radeon RX 6800 Graphics Card (CONFIRMED ORDER) (SHIPS ONCE IN HAND),783.65,2020-11-21 00:00:00
AMD Radeon RX 6800 16GB GDDR6 GPU IN HAND FREE/FAST SHIPPING!!!,930.0,2020-11-21 00:00:00
AMD Radeon RX 6800 Graphics Card - New - Confirmed Order,811.75,2020-11-21 00:00:00
AMD Radeon RX 6800 Graphics Card - Confirmed Order,10965.0,2020-11-21 00:00:00
AMD Radeon RX 6800 - ORDER CONFIRMED,1009.9,2020-11-21 00:00:00
AMD Radeon RX 6800  16GB VRAM - CONFIRMED ORDER✅✅✅✅,847.62,2020-11-21 00:00:00
MSI Radeon RX 6800 XT 16G - IN HAND - FAST AUCTION,1629.2,2020-11-22 00:00:00
PowerColor AMD Radeon RX 6800 XT GDDR6 16GB Graphics Card 16GBD6-M2DHC SHIPS NOW,1298.4,2020-11-22 00:00:00
AMD Radeon RX 6800 Gaming Graphics Card. Will Ship ASAP!,850.0,2020-11-22 00:00:00
AMD Radeon RX 6800 Graphics Card - Brand New  Sealed - In Hand,858.7,2020-11-22 00:00:00
RX 6800 XT A4 EDITION,354.0,2020-11-22 00:00:00
AMD Radeon RX 6800 Graphics Card - Brand New  Sealed - In Hand,859.9,2020-11-22 00:00:00
AMD Radeon RX 6800 Graphics Card (MSI) ON HAND SHIPS RIGHT AWAY,875.0,2020-11-23 00:00:00
SAPPHIRE AMD Radeon RX 6800 GPU,803.0,2020-11-23 00:00:00
Radeon rx 6800 xt (white card edition),1089.9,2020-11-23 00:00:00
AMD Radeon RX 6800XT 16GB DDR6 NIB. priority shipping! ,1300.0,2020-11-23 00:00:00
AMD Radeon RX 6800 Graphics Card *ORDER CONFIRMED**SHIPS AS SOON AS IN HAND*,1038.65,2020-11-23 00:00:00
AMD Radeon RX 6800 (IN HAND AND READY TO SHIP),827.94,2020-11-23 00:00:00
Sapphire AMD Radeon RX 6800 - Confirmed In Hand - Will Ship ASAP,1786.99,2020-11-23 00:00:00
NEW UNOPENED IN HAND PowerColor AMD Radeon RX 6800,808.7,2020-11-23 00:00:00
AMD Radeon RX 6800 - Order Confirmed,820.0,2020-11-23 00:00:00
Radeon RX 6800 XT SHIPPED print on paper ,1009.9,2020-11-23 00:00:00
AMD Radeon RX 6800 New GPU,775.0,2020-11-23 00:00:00
SAPPHIRE AMD Radeon RX 6800 GPU,809.9,2020-11-23 00:00:00
SAPPHIRE AMD Radeon RX 6800 GPU,802.5,2020-11-23 00:00:00
AMD Radeon RX 6800 Graphics Card *ORDER CONFIRMED**SHIPS AS SOON AS IN HAND*,1036.75,2020-11-23 00:00:00
AMD Radeon RX 6800 (IN HAND AND READY TO SHIP),827.74,2020-11-23 00:00:00
NEW UNOPENED IN HAND PowerColor AMD Radeon RX 6800,809.9,2020-11-23 00:00:00
SAPPHIRE AMD Radeon RX 6800 GPU,808.7,2020-11-23 00:00:00
AMD Radeon RX 6800XT 16GB DDR6 NIB. priority shipping! ,1301.0,2020-11-24 00:00:00
"ASRock AMD Radeon RX 6800 Gaming Graphics Card - CONFIRMED ORDER, SHIPS ASAP",749.99,2020-11-24 00:00:00
AMD Radeon RX 6800 Sapphire 16GB  - IN HAND - FAST SHIPPING ,932.85,2020-11-24 00:00:00
Big Navi AMD ASRock RX 6800 XT 16GB - IN HAND - FAST SHIPPING ,1282.85,2020-11-24 00:00:00
" AMD Radeon RX 6800 (In Hand, Unopened, Free Shipping)",840.0,2020-11-24 00:00:00
AMD Radeon RX 6800 XT Graphics Card CONFIRMED ORDER AMD,1325.0,2020-11-24 00:00:00
Radeon RX 6800 XT SHIPPED print on paper ,1025.0,2020-11-24 00:00:00
PowerColor AMD Radeon RX 6800 XT GDDR6 16GB Graphics Card 16GBD6-M2DHC SHIPS NOW,5019.0,2020-11-24 00:00:00
AMD RX6800 Graphics Card In Hand and will ship fast,689.99,2020-11-24 00:00:00
AMD Radeon RX 6800 Graphics Card EMAIL CONFIRMATION - WILL SHIP ASAP,920.0,2020-11-24 00:00:00
AMD Radeon RX 6800 SAPPHIRE *Confirmed Shipment* * Brand New Unopened* ,872.25,2020-11-24 00:00:00
"AMD MSI Radeon RX 6800 Graphic Card *Brand New, Never opened",839.9,2020-11-24 00:00:00
AMD Radeon RX 6800 Graphics Card - AMD Confirmed Order,885.0,2020-11-24 00:00:00
Sapphire Radeon RX 6800 16G GDDR6,876.7,2020-11-24 00:00:00
AMD Radeon RX 6800 SAPPHIRE *Confirmed Shipment* * Brand New Unopened* ,871.3,2020-11-24 00:00:00
AMD RADEON MSI RX 6800 16GB GPU New Sealed IN HAND & I WILL SHIP TODAY FOR FREE!,857.0,2020-11-25 00:00:00
AMD Radeon RX 6800 XT Graphics Card. Confirmed will ship when it arrives friday ,1175.0,2020-11-25 00:00:00
AMD Radeon RX 6800 Graphics Card - AMD Confirmed Order,830.0,2020-11-25 00:00:00
AMD Radeon RX 6800XT 16GB DDR6 NIB. priority shipping! ,1200.0,2020-11-25 00:00:00
AMD Radeon RX 6800 Graphics Card - New - Confirmed Order,849.9,2020-11-25 00:00:00
rx 6800 xt (give me money edition),8108.25,2020-11-25 00:00:00
Sapphire Radeon Rx 6800 (in hand) ,870.0,2020-11-25 00:00:00
"AMD Radeon RX 6800 - UNOPENED, IN HAND",790.0,2020-11-25 00:00:00
Radeon RX 6800xt Scalper Edition Kit,17.5,2020-11-25 00:00:00
rx 6800 xt (bidders edition),12100.0,2020-11-25 00:00:00
"AMD RX 6800 XT CONFIRMED ORDER, SHIPPING ON ARRIVAL, ARRIVES WEDNESDAY",1245.0,2020-11-25 00:00:00
NEW! PowerColor AMD Radeon RX 6800 XT 16GB Graphics Card 16GBD6-M2DHC SHIPS NOW!,1189.4,2020-11-25 00:00:00
AMD Radeon RX 6800 Gaming Graphics Card - READY TO SHIP!,862.84,2020-11-25 00:00:00
AMD Radeon RX 6800 Graphics PREORDER CONFIRMED ✅ TRUSTED SELLER ✅ FAST SHIPPING✅,859.9,2020-11-25 00:00:00
AMD Radeon RX 6800 Graphics Card,880.6,2020-11-25 00:00:00
AMD Radeon RX 6800 will ship TODAY,835.55,2020-11-25 00:00:00
AMD Radeon RX 6800 in hand Ships ASAP,815.55,2020-11-25 00:00:00
AMD Radeon RX 6800 XT Poorly Drawn Edition,100.0,2020-11-25 00:00:00
AMD Radeon RX 6800 SAPPHIRE - Unopened,882.25,2020-11-26 00:00:00
ASRock Radeon RX 6800 Gaming Graphics Card with 16GB GDDR6 *ORDER CONFIRMED*,809.99,2020-11-26 00:00:00
"AMD Radeon RX 6800 16GB (Reference Card) - New, Unopened",1050.0,2020-11-26 00:00:00
"MSI Radeon RX 6800 16GB GDDR6 (w/ 2-year Replacement Warranty, ship ASAP)",944.9,2020-11-26 00:00:00
MSI Radeon RX 6800 XT 16G - IN HAND - FAST SHIPPING,1099.2,2020-11-26 00:00:00
Radeon RX 6800 SAPPHIRE ,940.0,2020-11-26 00:00:00
MSI AMD Radeon RX 6800 16GB GPU 7nm GDDR6 ON HAND!,967.72,2020-11-26 00:00:00
PowerColor AMD Radeon RX 6800 XT GDDR6 16GB Graphics Card 16GBD6-M2DHC SHIPS NOW,1840.41,2020-11-26 00:00:00
AMD Radeon RX 6800 PowerColor RDNA2 Graphics Card IN HAND Ships IMMEDIATELY,985.0,2020-11-26 00:00:00
AMD Radeon RX 6800 GPU,930.0,2020-11-26 00:00:00
"AMD Radeon RX 6800 XT Graphics Card *In Hand, ships Immediately*",70142.75,2020-11-26 00:00:00
"AMD Radeon RX 6800 XT Graphics Card *In Hand, ships Immediately*",1350.0,2020-11-26 00:00:00
AMD RADEON RX 6800 New In Box,898.19,2020-11-26 00:00:00
AMD Radeon RX 6800,790.9,2020-11-27 00:00:00
AMD Radeon RX 6800 XT,1320.0,2020-11-27 00:00:00
Sapphire AMD Radeon RX6800 Graphics Card - IN HAND SHIPS SAME DAY!,820.0,2020-11-27 00:00:00
AMD SAPPHIRE Radeon RX 6800 16GB 256-Bit GDDR6 Video Card,812.25,2020-11-27 00:00:00
"AMD Radeon RX 6800 16GB *On Hand, Never Opened And Ready To Ship*",960.93,2020-11-27 00:00:00
"MSI AMD Radeon RX 6800 16GB GDDR6 Graphics Card ***NEW IN HAND, READY TO SHIP***",884.38,2020-11-27 00:00:00
SAPPHIRE AMD Radeon RX 6800 16GB Graphics Card - IN HAND & SEALED,879.99,2020-11-27 00:00:00
"AMD Radeon RX 6800 16GB, In hand, READY TO SHIP",818.12,2020-11-27 00:00:00
AMD Radeon RX 6800 XT Graphics Card *In hand and ships immediately*,1240.7,2020-11-27 00:00:00
AMD Radeon RX 6800 XT,1361.75,2020-11-27 00:00:00
AMD Radeon RX 6800 GPU,910.0,2020-11-27 00:00:00
AMD RADEON RX 6800 MSI,792.55,2020-11-28 00:00:00
AMD Radeon RX 6800,830.0,2020-11-28 00:00:00
"AMD SAPPHIRE RX6800 SEALED IN-HAND, WILL SHIP ASAP",1021.1,2020-11-28 00:00:00
SAPPHIRE Radeon RX 6800 16GB GDDR6 Graphics Card,819.9,2020-11-28 00:00:00
Big Navi AMD ASRock RX 6800 16GB - IN HAND - FAST SHIPPING - UNOPENED,864.9,2020-11-28 00:00:00
"AMD RADEON RX 6800 *AMD DIRECT ""Reference Card""* IN HAND UNOPENED, SHIPS NOW!",872.8,2020-11-28 00:00:00
AMD Radeon RX 6800 GPU - Brand New Sealed (Will be shipped in Original Box) ,838.25,2020-11-28 00:00:00
AMD Radeon RX 6800 ORDER CONFIRMED VIA AMD 16GB GDDR6 AMD RDNA 2,779.9,2020-11-28 00:00:00
AMD Radeon RX 6800 Graphics PREORDER CONFIRMED ✅ TRUSTED SELLER ✅ FAST SHIPPING✅,779.9,2020-11-28 00:00:00
Radeon RX 6800. NEW. STILL SEALED. Ships Same Day.,800.0,2020-11-28 00:00:00
MSI Radeon RX 6800 XT 16GB,1223.81,2020-11-28 00:00:00
ASRock AMD Radeon RX 6800 Graphics Card 16GB - Outperforms Nvidia 3070 and 3080,797.25,2020-11-29 00:00:00
"AMD Radeon RX 6800 16GB (Reference Card) - New, Unopened",851.0,2020-11-29 00:00:00
