title,price,date
"Up from Slavery by Booker T. Washington (1968, Trade Paperback)",3.25,2020-08-11 00:00:00
Set of 6 books Challenge I: Up From Slavery to Starship Troopers (Paperback),4.0,2020-08-13 00:00:00
"1901 - ""UP FROM SLAVERY  - AN AUTOBIOGRAPHY"" by Booker T. Washington",49.0,2020-08-16 00:00:00
"Up From Slavery by Booker T. Washington, Limited Editions Club, Signed 518/1500",46.0,2020-08-22 00:00:00
"Up from Slavery : An Autobiography by Booker T. Washington (2010, Paperback)",10.0,2020-08-24 00:00:00
"Up from Slavery by Booker T. Washington (2014, Trade Paperback)",4.99,2020-08-25 00:00:00
UP FROM SLAVERY by Booker T. Washington (1901) HARDCOVER,10.0,2020-08-26 00:00:00
"Up from Slavery by Booker T. Washington (2010, UK- A Format Paperback)",4.0,2020-08-27 00:00:00
"BRAND NEW Up from Slavery (Blu-ray Disc, 2012, 2-Disc Set) FREE SHIPPING!",5.0,2020-08-29 00:00:00
UP FROM SLAVERY Booker T. Washington Easton Press - 100 MASTERPIECES OF AM. LIT.,96.95,2020-08-30 00:00:00
UP FROM SLAVERY AN AUTOBIOGRAPHY by BOOKER T. WASHINGTON - First Edition,44.72,2020-09-01 00:00:00
Up From Slavery Booker T Washington Easton Press 1970 Tuskegee Institute ,25.0,2020-09-13 00:00:00
Up from Slavery by Booker T. Washington 1959,0.99,2020-09-17 00:00:00
"UP FROM SLAVERY, AUTOBIOGRAPHY OF BOOKER T. WASHINGTON",3.25,2020-09-19 00:00:00
Antique UP FROM SLAVERY An Autobiography -Book by Booker T Washington  *1922*,54.0,2020-09-22 00:00:00
Up From Slavery by Booker T Washington 1901 School Edition Hard Cover ,29.5,2020-09-23 00:00:00
UP FROM SLAVERY by Booker T. Washington (1901) HARDCOVER w/ dust jacket,74.5,2020-09-24 00:00:00
UP FROM SLAVERY-AN AUTOBIOGRAPHY Booker T. Washington 1901 Black Americana w/DJ,48.5,2020-09-24 00:00:00
1900 1901 1st Edition - Up From Slavery by Booker T. Washington,51.01,2020-09-28 00:00:00
"Up from Slavery (Signet Classics) by Washington, Booker T.",1.99,2020-10-01 00:00:00
Up From Slavery Booker T. Washington Franklin Library 100 Greatest,47.99,2020-10-04 00:00:00
Up from Slavery: an autobiography Booker T. Washington hardcover 1901 USA first ,123.99,2020-10-06 00:00:00
"Up From Slavery, An Autobiography by Booker T. Washington 1900, 1901 Hardcover",42.0,2020-10-08 00:00:00
"UP FROM SLAVERY BOOKER T. WASHINGTON Heritage Press 1970 No SC, With Sandglass",42.0,2020-10-09 00:00:00
Up From Slavery An Autobiography Booker T. Washington 1901 ,34.49,2020-10-11 00:00:00
Up From Slavery Booker T. Washington 1903 Doubleday HC History Biography Race,32.0,2020-10-14 00:00:00
"Dover Thrift Editions Ser.: Up from Slavery by Booker T. Washington (1995, Trade",1.8,2020-10-16 00:00:00
Up From M Slavery - Booker T Washington FIRST EDITION,70.0,2020-10-16 00:00:00
1901 Edition UP FROM SLAVERY Booker T. Washington Autobiography ,37.5,2020-10-16 00:00:00
UP FROM SLAVERY~AN AUTOBIOGRAPHY~Booker T. Washington~1901~1907~vintage~good,50.99,2020-10-17 00:00:00
UP FROM SLAVERY - Booker T. Washington - Easton Press,29.0,2020-10-24 00:00:00
