title,price,date
Apple iPhone 8 Plus - 64GB - Silver (Unlocked) A1864 (CDMA + GSM),185.0,2020-08-09 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Sprint) A1864 ***READ DESCRIPTION***,229.51,2020-08-09 00:00:00
Apple iPhone 8 Plus - 64GB -A1897 (GSM) ***READ DESCRIPTION***,254.5,2020-08-09 00:00:00
Apple iPhone 8 Plus - 64GB - Silver (Unlocked) A1864 (CDMA + GSM),185.0,2020-08-09 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Sprint) A1864 ***READ DESCRIPTION***,225.51,2020-08-09 00:00:00
Apple iPhone 8 Plus - 64GB -A1897 (GSM) ***READ DESCRIPTION***,250.5,2020-08-09 00:00:00
Apple iPhone 8 Plus - 64GB - Silver (Unlocked) A1864 (CDMA + GSM),185.0,2020-08-09 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Sprint) A1864 ***READ DESCRIPTION***,230.51,2020-08-09 00:00:00
Apple iPhone 8 Plus - 64GB -A1897 (GSM) ***READ DESCRIPTION***,254.5,2020-08-09 00:00:00
"Apple iPhone 8 PLUS 64GB ((GSM, and CDMA UNLOCKED)) GOLD EXCELLENT ALL NETWORKS",325.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Unlocked) A1864 (CDMA + GSM)  RM906,263.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Gold (Unlocked) A1897 (GSM) RM871,295.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Sprint) A1864 - Read Descriptions,267.0,2020-08-10 00:00:00
Apple iPhone 8 Plus (PRODUCT)RED - 64GB - (T-Mobile) A1864 (GSM+CDMA) *READ*,220.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Gold (Unlocked) A1864 (CDMA + GSM) RM1099,281.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Verizon) Tested + A Grade Condition!,342.99,2020-08-10 00:00:00
"Apple iPhone 8 Plus 64GB Gold (Unlocked) - Used, Great Condition",360.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Silver (Unlocked) A1864 (CDMA + GSM) RM1083,355.0,2020-08-10 00:00:00
Apple iPhone 8 Plus 64GB Red IC locked FOR PARTS ONLY- Read,130.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 256GB - Silver (AT&T) A1897 (GSM),206.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (T-Mobile) A1897 (GSM),344.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 256GB - Gold (Xfinity) A1864 (CDMA + GSM) New Open Box,355.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 256GB - Gold (Verizon) A1864 (CDMA + GSM),429.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Sprint) A1864 (CDMA + GSM) Works Great,197.5,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Unlocked) A1864 (CDMA + GSM) LOT OF 2!,520.0,2020-08-10 00:00:00
Apple iPhone 8 Plus (PRODUCT)RED - 64GB - (Unlocked) A1864 (CDMA + GSM) RM1082,320.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Black (Sprint) A1864 (CDMA   GSM),281.3,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Parts Ic,152.3,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Silver (AT&T) A1897 (GSM),250.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (AT&T) A1897 (GSM),192.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Unlocked) A1864 (CDMA + GSM),317.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Unlocked) A1864 (CDMA + GSM) RM1073,295.0,2020-08-10 00:00:00
"Apple iPhone 8 Plus 64GB Rose Gold Unlocked, tested,",215.5,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Sprint) A1864 (CDMA + GSM),280.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Space Gray (Unlocked) A1864 (CDMA + GSM),313.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Silver (Unlocked) A1864 (CDMA + GSM),358.0,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Silver (AT&T) A1897 (GSM) MINT CONDiTION,285.0,2020-08-10 00:00:00
IPHONE 8 PLUS GOLD 64GB UNLOCKED,372.38,2020-08-10 00:00:00
Apple iPhone 8 Plus - 64GB - Gold (Verizon) A1864 (CDMA + GSM),348.0,2020-08-10 00:00:00
