title,price,date
"IN COLD BLOOD Vinyl, LP Truman Capote's Quincy Jones Soundtrack ",10.13,2020-08-11 00:00:00
"1965 Press Photo actors Troy Donahue and Joey Heatherton in ""My Blood Runs Cold""",14.98,2020-08-11 00:00:00
"In Cold Blood, Truman Capote, Easton Press, Full Leather, 2000",38.33,2020-08-11 00:00:00
In Cold Blood ⭐️ FIRST PRINTING ⭐️ Truman Capote - 1ST EDITION - 1965 ,200.0,2020-08-13 00:00:00
In Cold Blood By Truman Capote 1965 HB Book Club Edition 1st Printing with DJ,15.33,2020-08-15 00:00:00
"In Cold Blood (Sony PlayStation 1, 2001) - 625904315601 - Complete",18.8,2020-08-15 00:00:00
1965 IN COLD BLOOD Truman Capote 1st Edition / 1st Printing,11.33,2020-08-15 00:00:00
"In Cold Blood. PS1 / PS Game, Playstation 1 *Free Postage* ",29.08,2020-08-15 00:00:00
"Superboy #151 - October 1968 - ""D.O.A. In Cold Blood!",6.49,2020-08-16 00:00:00
Truman Capote IN COLD BLOOD 1st/1st 1965 Stated First Edition 5.95 w Dust Jacket,63.32,2020-08-16 00:00:00
In Cold Blood by Truman Capote,5.31,2020-08-16 00:00:00
Integrity NYHC Ringworm In Cold Blood One Life Crew Converge Madball Merauder,69.0,2020-08-17 00:00:00
Integrity NYHC Ringworm In Cold Blood One Life Crew Converge Madball Merauder,219.5,2020-08-17 00:00:00
Ringworm NYHC Integrity In Cold Blood Madball Cold As Life Merauder All Out War,50.0,2020-08-17 00:00:00
"SUPERBOY #151 (VG+) 1968 SILVER AGE! NEAL ADAMS COVER ART ""D.O.A. in COLD BLOOD""",10.25,2020-08-19 00:00:00
1965 1st Printing IN COLD BLOOD By TRUMAN CAPOTE w/Dust Jacket,53.0,2020-08-19 00:00:00
"In Cold Blood (Blu-ray Disc, 2015, Criterion Collection) New Sealed",22.0,2020-08-19 00:00:00
In Cold Blood - Truman Capote / Alan Reingold 2000 Collector's Easton Press,35.25,2020-08-20 00:00:00
"Truman Capote IN COLD BLOOD, First Printing without dust jacket",15.0,2020-08-21 00:00:00
Johnny Thunders Test pressing Lp diary of a lover RARE in cold blood 1983 JEM,57.0,2020-08-22 00:00:00
FREEDOM SINGERS - REAL GONE LOSER // SOUND DIMENSION - IN COLD BLOOD  [ AUG064 ],23.5,2020-08-23 00:00:00
"IN COLD BLOOD ""HELL ON EARTH"" CD",6.28,2020-08-23 00:00:00
"In Cold Blood Vinyl 7"" record Cleveland hardcore hXc metal 1990s NEW",25.3,2020-08-25 00:00:00
